Datetime,Time(s),SDI12_Status,VWC,SoilTemp,Permittivity,BulkEC,PoreEC,TRHTSE_Status,TRHTSE_Temp,TRHTSE_VWC,SHT31_Status,SHT31_Temp,SHT31_RH,DFRobot1_Status,DFRobot1_Raw,DFRobot1_VWC,DFRobot1_Status_Text,DFRobot2_Status,DFRobot2_Raw,DFRobot2_VWC,DFRobot2_Status_Text
01/07/2025 13:35,15,14Acclima TR305N2.019007960,9.4,45.8,5.7,192,5630,TRHTSE_Found,34.86,14.04,SHT31_FOUND,51.12,17.72,DFROBOT1_FOUND,606,11.47304,Unknown,DFROBOT2_FOUND,560,11.5356,Dry
01/07/2025 13:50,915,,10.6,45.3,6.1,173,4583,TRHTSE_Found,,14.08,SHT31_FOUND,53.07,17.01,DFROBOT1_FOUND,595,11.4198,Unknown,DFROBOT2_FOUND,565,11.56065,Dry
01/07/2025 14:05,1816,,11,44.3,6.3,165,4231,TRHTSE_Found,27.29,14.04,SHT31_FOUND,53.3,17.33,DFROBOT1_FOUND,598,11.43432,Unknown,DFROBOT2_FOUND,559,11.53059,Dry
01/07/2025 14:20,2717,,11.1,43.3,6.4,160,4038,TRHTSE_Found,32.53,14.03,SHT31_FOUND,50.99,17.55,DFROBOT1_FOUND,591,11.40044,Unknown,DFROBOT2_FOUND,565,11.56065,Dry
01/07/2025 14:35,3618,,11,42.6,6.3,156,4000,TRHTSE_Found,33.17,13.96,SHT31_FOUND,52.43,17.47,DFROBOT1_FOUND,596,11.42464,Unknown,DFROBOT2_FOUND,565,11.56065,Dry
01/07/2025 14:50,4519,,11.1,42,6.4,154,3886,TRHTSE_Found,32.86,13.96,SHT31_FOUND,50.51,17.46,DFROBOT1_FOUND,594,11.41496,Unknown,DFROBOT2_FOUND,561,11.54061,Dry
01/07/2025 15:05,5419,,11,41.4,6.3,153,3923,TRHTSE_Found,32.65,13.84,SHT31_FOUND,51.2,17.34,DFROBOT1_FOUND,597,11.42948,Unknown,DFROBOT2_FOUND,557,11.52057,Dry
01/07/2025 15:20,6320,,11,41,6.3,152,3898,TRHTSE_Found,32.55,13.84,SHT31_FOUND,47.88,19.33,DFROBOT1_FOUND,617,11.52628,Unknown,DFROBOT2_FOUND,561,11.54061,Dry
01/07/2025 15:35,7221,,11,40.5,6.3,151,3872,TRHTSE_Found,32.33,13.84,SHT31_FOUND,45.99,20.3,DFROBOT1_FOUND,593,11.41012,Unknown,DFROBOT2_FOUND,554,11.50554,Dry
01/07/2025 15:50,8122,,11.1,40.1,6.4,150,3785,TRHTSE_Found,32.15,13.84,SHT31_FOUND,44.75,20.76,DFROBOT1_FOUND,591,11.40044,Unknown,DFROBOT2_FOUND,546,11.46546,Dry
01/07/2025 16:05,9023,,11.3,39.7,6.4,148,3676,TRHTSE_Found,31.85,13.81,SHT31_FOUND,45.13,20.75,DFROBOT1_FOUND,615,11.5166,Unknown,DFROBOT2_FOUND,560,11.5356,Dry
01/07/2025 16:20,9924,,11.1,39.4,6.4,147,3710,TRHTSE_Found,31.02,13.58,SHT31_FOUND,46.51,19.88,DFROBOT1_FOUND,593,11.41012,Unknown,DFROBOT2_FOUND,557,11.52057,Dry
01/07/2025 16:35,10825,,10.8,39,6.2,146,3805,TRHTSE_Found,31.25,13.73,SHT31_FOUND,46.2,20.08,DFROBOT1_FOUND,591,11.40044,Unknown,DFROBOT2_FOUND,549,11.48049,Dry
